feature,target,mean_abs_shap,mean_signed_shap,shap_share_within_target
A51,S1_VV_div_VH,0.019290660278987733,-0.0036139798616333925,0.00409951487690662
A52,S1_VV_div_VH,0.1997554243862808,0.039895932342432106,0.042450611963051214
A53,S1_VV_div_VH,0.02909997995303479,-0.009878078718756143,0.006184122213022068
A54,S1_VV_div_VH,0.019966000354031,0.002320921397778419,0.004243033379880142
A55,S1_VV_div_VH,0.025278885745511792,0.0018296070879425907,0.00537209025956608
A56,S1_VV_div_VH,0.01791454758967198,0.005647396147943334,0.003807073127346872
A57,S1_VV_div_VH,0.025028424237387208,0.0027660477630597137,0.005318863948812601
A58,S1_VV_div_VH,0.026906360127024912,-0.0005169690725521968,0.005717949620640658
A59,S1_VV_div_VH,0.05801449889457232,-0.005086484490396611,0.012328831561750044
A60,S1_VV_div_VH,0.01911896816258242,0.0025495593788191413,0.004063028080950867
A61,S1_VV_div_VH,0.03379060682014633,0.004622152655282786,0.007180941105980701
A62,S1_VV_div_VH,0.13986844347253893,0.010562169573508471,0.02972385374750555
A63,S1_VV_div_VH,0.017983236775247227,0.006327740714613885,0.003821670467929094
