feature,target,mean_abs_shap,mean_signed_shap,shap_share_within_target,pearson_r,pearson_abs_r,pearson_p_value,shap_rank_within_target,pearson_rank_within_target,combined_rank_within_target
A20,S1_VV,0.014192707695865833,0.0010513269837564877,0.001781648176498184,0.19236797706689476,0.19236797706689476,2.342739740258535e-22,58.0,51.0,54.5
A33,S1_VV,0.017685503751079756,0.006509658787585737,0.0022201081135308194,-0.09933016557389024,0.09933016557389024,6.123466663245762e-07,54.0,56.0,55.0
A51,S1_VV,0.012730073895052197,-0.0032638529416385126,0.0015980398827218465,0.23594247292984669,0.23594247292984669,4.1678114620139136e-33,61.0,50.0,55.5
A22,S1_VV,0.021634898104050882,-0.004899955633966656,0.002715886043861398,-0.017275496235669423,0.017275496235669423,0.3868705510010226,48.0,64.0,56.0
A27,S1_VV_div_VH,0.8594425961810614,-0.11148808244631538,0.18264267049113123,-0.6857133117196279,0.6857133117196279,0.0,1.0,2.0,1.5
A25,S1_VV_div_VH,0.691987365775246,-0.02069182799191189,0.14705626762382154,-0.7160539276384086,0.7160539276384086,0.0,2.0,1.0,1.5
A24,S1_VV_div_VH,0.18166391082879896,0.06586513850780336,0.03860593127809612,-0.6278601869419591,0.6278601869419591,2.1306820318508204e-275,5.0,7.0,6.0
A32,S1_VV_div_VH,0.15513415066308212,0.011359426730633386,0.032968014021392045,0.5961160775994808,0.5961160775994808,1.6586092608040794e-241,6.0,11.0,8.5
A03,S1_VV_div_VH,0.09488673098965851,0.0021256686429832854,0.0201646579063365,-0.6299966519023548,0.6299966519023548,8.030993925809454e-278,11.0,6.0,8.5
A21,S1_VV_div_VH,0.14079510731270528,0.03987741733016186,0.029920781801999943,0.5314660925631866,0.5314660925631866,4.345753217363767e-183,7.0,16.0,11.5
A23,S1_VV_div_VH,0.041449272005902385,-0.0024977817743143463,0.008808506539832263,0.6502108025697279,0.6502108025697279,9.935416515455024e-302,23.0,4.0,13.5
A52,S1_VV_div_VH,0.1997554243862808,0.039895932342432106,0.042450611963051214,-0.44035340514280014,0.44035340514280014,1.3032085336521107e-119,4.0,29.0,16.5
A26,S1_VV_div_VH,0.07068554846667673,-0.021529169176054512,0.015021593524047638,0.47707540163615514,0.47707540163615514,6.61353710452808e-143,15.0,21.0,18.0
A30,S1_VV_div_VH,0.06039222024568718,-0.0035188726933374076,0.012834128109979205,-0.4949218945685861,0.4949218945685861,2.687086544328596e-155,16.0,20.0,18.0
A31,S1_VV_div_VH,0.035304449687276,-0.006910934349838233,0.007502652300172274,0.6318080189464682,0.6318080189464682,6.83726556323621e-280,32.0,5.0,18.5
A44,S1_VV_div_VH,0.03567359331973308,-0.007892539000115635,0.00758110009776381,-0.5317049570990431,0.5317049570990431,2.7861994302255867e-183,28.0,15.0,21.5
A40,S1_VV_div_VH,0.11659750469435018,-0.026193371017934522,0.024778478195758288,-0.38652528127466357,0.38652528127466357,2.840063501950174e-90,9.0,36.0,22.5
A50,S1_VV_div_VH,0.0311478756963922,-0.003610372090170813,0.006619326552574513,0.6005378486416755,0.6005378486416755,5.322536059366269e-246,39.0,9.0,24.0
A04,S1_VV_div_VH,0.05070232255034161,0.017598798291047903,0.010774899489326889,-0.4335333521815141,0.4335333521815141,1.3651564352440565e-115,19.0,30.0,24.5
A61,S1_VV_div_VH,0.03379060682014633,0.004622152655282786,0.007180941105980701,-0.539402284566399,0.539402284566399,1.3811111303360313e-189,35.0,14.0,24.5
A62,S1_VV_div_VH,0.13986844347253893,0.010562169573508471,0.02972385374750555,-0.3315868176782642,0.3315868176782642,1.6620431612365323e-65,8.0,43.0,25.5
A18,S1_VV_div_VH,0.03438430499540912,-0.00612128464246455,0.007307109649031207,0.49935124546179593,0.49935124546179593,1.7311776405706248e-158,34.0,19.0,26.5
A53,S1_VV_div_VH,0.02909997995303479,-0.009878078718756143,0.006184122213022068,-0.5514665828181641,0.5514665828181641,8.378923360685639e-200,40.0,13.0,26.5
A12,S1_VV_div_VH,0.10345394613493658,-0.015286565677489374,0.021985301960702176,0.32683289763408807,0.32683289763408807,1.378814550905312e-63,10.0,44.0,27.0
A10,S1_VV_div_VH,0.03613375954718343,-0.001515574083765595,0.007678891374371255,0.4513763164297469,0.4513763164297469,2.6297208544011227e-126,27.0,27.0,27.0
A09,S1_VV_div_VH,0.036832006455173545,-0.008914119132485247,0.007827277875696845,0.3994756094827814,0.3994756094827814,7.585132851304726e-97,25.0,34.0,29.5
A29,S1_VV_div_VH,0.03325580107394776,0.002777009664694835,0.007067287966010978,-0.46224371091921873,0.46224371091921873,3.7449009627528064e-133,36.0,25.0,30.5
A55,S1_VV_div_VH,0.025278885745511792,0.0018296070879425907,0.00537209025956608,0.5081698110108772,0.5081698110108772,5.541393471342336e-165,44.0,18.0,31.0
A41,S1_VV_div_VH,0.019601758105600615,0.004127655382802516,0.004165627189804588,-0.600135012259217,0.600135012259217,1.3753538645690675e-245,52.0,10.0,31.0
A56,S1_VV_div_VH,0.01791454758967198,0.005647396147943334,0.003807073127346872,-0.6745389846031798,0.6745389846031798,0.0,59.0,3.0,31.0
A39,S1_VV_div_VH,0.2362403152965855,0.009556774077431678,0.05020412329475136,-0.0486084190527173,0.0486084190527173,0.014851129866569817,3.0,60.0,31.5
A06,S1_VV_div_VH,0.04778270548306959,-0.013607847296921634,0.010154443090787264,0.344479143668595,0.344479143668595,6.9593770134206395e-71,21.0,42.0,31.5
A43,S1_VV_div_VH,0.02172740078259768,0.0027385063782421,0.00461735375858507,0.5312093143720611,0.5312093143720611,7.005244785205325e-183,47.0,17.0,32.0
A01,S1_VV_div_VH,0.08780193859580056,-0.01104500626880736,0.01865904786508499,0.16917828404878252,0.16917828404878252,1.4031090172578285e-17,12.0,53.0,32.5
A59,S1_VV_div_VH,0.05801449889457232,-0.005086484490396611,0.012328831561750044,-0.23041619627747942,0.23041619627747942,1.3029730250564036e-31,17.0,49.0,33.0
A57,S1_VV_div_VH,0.025028424237387208,0.0027660477630597137,0.005318863948812601,0.47504344883003136,0.47504344883003136,1.5318441634443513e-141,45.0,22.0,33.5
A42,S1_VV_div_VH,0.03532663562583669,0.0072603126870313915,0.00750736709914091,0.38620433780359265,0.38620433780359265,4.097448769319665e-90,31.0,37.0,34.0
A11,S1_VV_div_VH,0.03248913557211125,-0.0030594381618720867,0.006904361628346253,-0.40836803824163714,0.40836803824163714,1.561080736380032e-101,37.0,32.0,34.5
A14,S1_VV_div_VH,0.05295108613125908,0.012105346995342872,0.011252790843033354,0.20276219147931507,0.20276219147931507,1.0440889634681698e-24,18.0,52.0,35.0
A63,S1_VV_div_VH,0.017983236775247227,0.006327740714613885,0.003821670467929094,0.5856774765038861,0.5856774765038861,3.588378623260786e-231,58.0,12.0,35.0
A46,S1_VV_div_VH,0.01651258345077084,0.0002994705811202118,0.0035091376103041972,-0.6020550481609606,0.6020550481609606,1.4723184751456874e-247,62.0,8.0,35.0
A02,S1_VV_div_VH,0.034640833357002056,0.012714533442271123,0.007361625244634962,-0.380573490310926,0.380573490310926,2.3799172716269655e-87,33.0,38.0,35.5
