feature,target,pearson_r,pearson_abs_r,pearson_p_value
A24,S1_VV,0.6183055344241442,0.6183055344241442,8.702336336709933e-265
A24,S1_VH,0.7114058314762338,0.7114058314762338,0.0
A24,S1_VV_div_VH,-0.6278601869419591,0.6278601869419591,2.1306820318508204e-275
A25,S1_VV,0.6925491029448223,0.6925491029448223,0.0
A25,S1_VH,0.8012730217748825,0.8012730217748825,0.0
A25,S1_VV_div_VH,-0.7160539276384086,0.7160539276384086,0.0
A26,S1_VV,-0.5855046835550954,0.5855046835550954,5.282305172754456e-231
A26,S1_VH,-0.6328838914478063,0.6328838914478063,3.9710983696212676e-281
A26,S1_VV_div_VH,0.47707540163615514,0.47707540163615514,6.61353710452808e-143
A27,S1_VV,0.8571802084867841,0.8571802084867841,0.0
A27,S1_VH,0.9221255832776929,0.9221255832776929,0.0
A27,S1_VV_div_VH,-0.6857133117196279,0.6857133117196279,0.0
A28,S1_VV,-0.0627764100270235,0.0627764100270235,0.001648103637679103
A28,S1_VH,-0.025789633172696624,0.025789633172696624,0.19639635342589903
A28,S1_VV_div_VH,-0.07002631402670188,0.07002631402670188,0.00044546117143435816
A29,S1_VV,0.31315753983795647,0.31315753983795647,2.954938783591754e-58
A29,S1_VH,0.410386031077245,0.410386031077245,1.2879011202377586e-102
A29,S1_VV_div_VH,-0.46224371091921873,0.46224371091921873,3.7449009627528064e-133
A30,S1_VV,0.8901466760490555,0.8901466760490555,0.0
A30,S1_VH,0.8822015287679844,0.8822015287679844,0.0
A30,S1_VV_div_VH,-0.4949218945685861,0.4949218945685861,2.687086544328596e-155
A31,S1_VV,-0.8227404785622041,0.8227404785622041,0.0
A31,S1_VH,-0.8759274331345868,0.8759274331345868,0.0
A31,S1_VV_div_VH,0.6318080189464682,0.6318080189464682,6.83726556323621e-280
A32,S1_VV,-0.6161369294624376,0.6161369294624376,1.9826275338932422e-262
A32,S1_VH,-0.6986551916573258,0.6986551916573258,0.0
A32,S1_VV_div_VH,0.5961160775994808,0.5961160775994808,1.6586092608040794e-241
A33,S1_VV,-0.09933016557389024,0.09933016557389024,6.123466663245762e-07
A33,S1_VH,0.005284219237418603,0.005284219237418603,0.7912701696312199
A33,S1_VV_div_VH,-0.24357061849090084,0.24357061849090084,3.103476865707099e-35
A34,S1_VV,0.8123026014702208,0.8123026014702208,0.0
A34,S1_VH,0.812974751047728,0.812974751047728,0.0
A34,S1_VV_div_VH,-0.47446206303038374,0.47446206303038374,3.7498566479402967e-141
A35,S1_VV,-0.6515987683671967,0.6515987683671967,1.9415612680462286e-303
A35,S1_VH,-0.5967855442174164,0.5967855442174164,3.4986111817757738e-242
A35,S1_VV_div_VH,0.22114763931688092,0.22114763931688092,3.4301392659373757e-29
A36,S1_VV,-0.8849340734476749,0.8849340734476749,0.0
A36,S1_VH,-0.864205303579408,0.864205303579408,0.0
A36,S1_VV_div_VH,0.45506516549473486,0.45506516549473486,1.3295441558251287e-128
A37,S1_VV,0.39936597748005276,0.39936597748005276,8.646768481159246e-97
A37,S1_VH,0.3246981144755423,0.3246981144755423,9.774147470046192e-63
A37,S1_VV_div_VH,-0.017227639714271895,0.017227639714271895,0.38818742784455246
A38,S1_VV,0.07705048116093599,0.07705048116093599,0.00011117383187164785
A38,S1_VH,-0.03479706234740704,0.03479706234740704,0.08127488765674859
A38,S1_VV_div_VH,0.27736680643164136,0.27736680643164136,1.38837954453083e-45
A39,S1_VV,-0.6104815478745726,0.6104815478745726,2.288740503955545e-256
