feature_set,target,model_name,seed,fold,r2,rmse,mae,pearson_r,n_valid
embedding_plus_context,S1_VV,ridge,52,3,0.8938884121586811,1.2256782498417889,0.8455506353887035,0.9455333111783164,644
embedding_plus_context,S1_VV,ridge,52,4,0.8753237580300086,1.3711856630931243,0.9287208075347718,0.9356278699886484,772
embedding_plus_context,S1_VV,ridge,62,1,0.8903257322178892,1.3092813931679388,0.9273016138378033,0.9438919744396719,777
embedding_plus_context,S1_VV,ridge,62,2,0.9016242808230941,1.2289323051306922,0.875342762227715,0.9497661684080597,687
embedding_plus_context,S1_VV,ridge,62,3,0.8938884121586811,1.2256782498417889,0.8455506353887035,0.9455333111783164,644
embedding_plus_context,S1_VV,ridge,62,4,0.8753237580300086,1.3711856630931243,0.9287208075347718,0.9356278699886484,772
embedding_plus_context,S1_VV,lightgbm,42,1,0.9174733157698778,1.1357371251543456,0.8031728703082225,0.9595521160905238,777
embedding_plus_context,S1_VV,lightgbm,42,2,0.9300688621437838,1.0361420472045637,0.7795116702743653,0.9644319490444577,687
embedding_plus_context,S1_VV,lightgbm,42,3,0.9127919947936067,1.1111514288227045,0.7822822957610179,0.9554493650977254,644
embedding_plus_context,S1_VV,lightgbm,42,4,0.8986569780427662,1.2362358603319814,0.8564079987661828,0.9488044807589338,772
embedding_plus_context,S1_VV,lightgbm,52,1,0.9174733157698778,1.1357371251543456,0.8031728703082225,0.9595521160905238,777
embedding_plus_context,S1_VV,lightgbm,52,2,0.9300688621437838,1.0361420472045637,0.7795116702743653,0.9644319490444577,687
embedding_plus_context,S1_VV,lightgbm,52,3,0.9127919947936067,1.1111514288227045,0.7822822957610179,0.9554493650977254,644
embedding_plus_context,S1_VV,lightgbm,52,4,0.8986569780427662,1.2362358603319814,0.8564079987661828,0.9488044807589338,772
embedding_plus_context,S1_VV,lightgbm,62,1,0.9174733157698778,1.1357371251543456,0.8031728703082225,0.9595521160905238,777
embedding_plus_context,S1_VV,lightgbm,62,2,0.9300688621437838,1.0361420472045637,0.7795116702743653,0.9644319490444577,687
embedding_plus_context,S1_VV,lightgbm,62,3,0.9127919947936067,1.1111514288227045,0.7822822957610179,0.9554493650977254,644
embedding_plus_context,S1_VV,lightgbm,62,4,0.8986569780427662,1.2362358603319814,0.8564079987661828,0.9488044807589338,772
embedding_plus_context,S1_VH,ridge,42,1,0.9324214470540195,1.2868203404986653,0.9647872603942281,0.9657276093098215,777
