feature_set,target,model_name,fraction,seed,n_train,train_r2,train_rmse,valid_r2,valid_rmse
embedding_only,S1_VV_div_VH,lightgbm,0.2,23,396,0.9644782809190259,0.38046453554802556,0.6232589628471044,1.2911943871824
embedding_only,S1_VV_div_VH,lightgbm,0.2,33,396,0.9735718657770736,0.32444381339232836,0.6241619743850382,1.2896460252732354
embedding_only,S1_VV_div_VH,lightgbm,0.4,13,792,0.950065951893237,0.4428712801596406,0.6274074177735404,1.2840657649974618
embedding_only,S1_VV_div_VH,lightgbm,0.4,23,792,0.9491222844936001,0.4622030351561774,0.6620413054246004,1.2229310644795393
embedding_only,S1_VV_div_VH,lightgbm,0.4,33,792,0.9556383918783593,0.41516610190711006,0.6539476591016786,1.2374881836288636
embedding_only,S1_VV_div_VH,lightgbm,0.6,13,1224,0.9411458623256411,0.4901090677214161,0.6761725855753835,1.1970904636810216
embedding_only,S1_VV_div_VH,lightgbm,0.6,23,1224,0.9377865951308044,0.510340319438531,0.6808182092862844,1.188472722723411
embedding_only,S1_VV_div_VH,lightgbm,0.6,33,1224,0.9401273502473431,0.49553685585086116,0.6849792996594697,1.1807004025872554
embedding_only,S1_VV_div_VH,lightgbm,0.8,13,1620,0.9285890584708613,0.5445412150926221,0.694885351108188,1.1619881377238188
embedding_only,S1_VV_div_VH,lightgbm,0.8,23,1620,0.9274590681564167,0.5482984296343173,0.6971296009280603,1.157706788477226
embedding_only,S1_VV_div_VH,lightgbm,0.8,33,1620,0.9326689301089969,0.5282265533703985,0.6907889833468817,1.1697623642428974
embedding_only,S1_VV_div_VH,lightgbm,1.0,13,2016,0.9175105231403817,0.5901591667445314,0.7070277249582746,1.1386321094364258
embedding_only,S1_VV_div_VH,lightgbm,1.0,23,2016,0.9175105231403817,0.5901591667445314,0.7070277249582746,1.1386321094364258
embedding_only,S1_VV_div_VH,lightgbm,1.0,33,2016,0.9175105231403817,0.5901591667445314,0.7070277249582746,1.1386321094364258
embedding_plus_context,S1_VV,ridge,0.1,13,216,0.9091451395480526,1.1396820474622191,0.8205370728886767,1.700275676193502
embedding_plus_context,S1_VV,ridge,0.1,23,216,0.8920945519071415,1.2145259049283788,0.8140102217809843,1.730918049795116
embedding_plus_context,S1_VV,ridge,0.1,33,216,0.886147948210562,1.2536642748146267,0.8187392241234831,1.7087710821175874
